variables,type,units,values,description
towerse.env.distLoads.windLoads_Pz,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.windLoads_qdyn,input,N/m**2,"[148.65434324008314, 151.11643422205083, 153.45767759589194, 155.69098128961096, 159.02830012888506, 162.15751383141043, 165.10641172521753, 167.89737146356666, 170.5487007023043, 173.07558357199503, 175.4907646545381, 177.8050537140081, 180.02770511055365, 182.16670765262072, 184.22900930139602, 186.2206936137392, 188.14711996281548, 190.0130361324865, 191.8226696456259, 193.57980246906928, 195.28783265185143, 196.9498255325104, 198.5685566060761, 200.14654762740366, 201.68609720336082, 203.18930686328906, 204.6581033783456, 206.09425798984842, 207.49940302259208, 208.87504632625294, 210.22258385240448, 211.5433106767212, 212.83843066963956, 214.10906503651626, 215.35625985860327, 216.58099279520604, 217.78417903301536, 218.96667660384898, 220.1292911399765, 221.272780139391, 222.39785680306332, 223.50519348446414, 224.59542481813313, 225.669150541, 226.72693806176034, 227.7693247836286, 228.79682022932573, 229.8099079694552, 230.8090473963521, 231.7946753379848, 232.76720754710092, 233.72704005723938, 234.67455043714676, 235.6100989441587, 236.53402958786364, 237.44667111415723, 238.34833790806985, 239.2393308401717, 240.11993804251284, 240.9904356373393, 241.85108840401782, 242.70215040610927, 243.54386557364788, 244.3764682459364, 245.2001836796744, 246.0152285171582, 246.8218112335662, 247.62013254768675, 248.4103858144342, 249.1927573835928, 249.9674269440723, 250.73456783964482, 251.49434737469122, 252.24692709438233, 252.99246305578774, 253.7311060745453, 254.46300196318683, 255.1882917545623, 255.90711191278046, 256.6195945339077, 257.32586753013567, 258.02605481229546, 258.7202764557865, 259.40864886454074, 260.09128491834724, 260.7682941192488, 261.4397827238344, 262.1058538767338, 262.7666077309171, 263.422141568513, 264.0725499080081]",
towerse.env.distLoads.windLoads_z,input,m,"[15.0, 16.062629943333334, 17.125259886666665, 18.18788983, 19.868327876666665, 21.548765923333335, 23.22920397, 24.909642016666666, 26.590080063333335, 28.27051811, 29.950956160000004, 31.631394210000003, 33.31183226, 34.99227030666667, 36.672708353333334, 38.3531464, 40.033584450000006, 41.7140225, 43.394460550000005, 45.07489859666667, 46.75533664333334, 48.43577469, 50.11621273666667, 51.796650783333334, 53.47708883, 55.157526880000006, 56.83796493, 58.518402980000005, 60.19884102666666, 61.879279073333336, 63.55971712, 65.24015517, 66.92059322, 68.60103127, 70.28146931666666, 71.96190736333332, 73.64234540999999, 75.32278345666666, 77.00322150333334, 78.68365955, 80.36409760000001, 82.04453565, 83.7249737, 85.40541174666667, 87.08584979333334, 88.76628784, 90.44672589, 92.12716394, 93.80760199, 95.48804003666667, 97.16847808333333, 98.84891613, 100.52935417666667, 102.20979222333332, 103.89023027, 105.57066832, 107.25110637, 108.93154442, 110.61198246666667, 112.29242051333333, 113.97285855999999, 115.65329660666667, 117.33373465333332, 119.0141727, 120.69461075, 122.3750488, 124.05548685, 125.73592489666667, 127.41636294333333, 129.09680099, 130.77723903999998, 132.45767708999998, 134.13811513999997, 135.81855318666663, 137.49899123333333, 139.17942928, 140.8598673266667, 142.54030537333333, 144.22074342, 145.90118146999998, 147.58161952, 149.26205757, 150.94249561666666, 152.62293366333333, 154.30337171, 155.98380975999999, 157.66424781, 159.34468586, 161.02512390666666, 162.70556195333333, 164.386]",
towerse.env.distLoads.windLoads_beta,input,deg,0.0,
towerse.env.distLoads.waveLoads_Px,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_Pz,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_qdyn,input,N/m**2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_z,input,m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_beta,input,deg,0.0,
